name,state,city
World Mission University,CA,Los Angeles
Santa Monica Montessori Institute,CA,Santa Monica
Maria Montessori Teacher Training Center,CA,San Jose
Brandon College,CA,San Francisco
California Institute of the Healing Arts & Sciences,CA,Sacramento
Career College of California,CA,Santa Ana
CBD College,CA,Los Angeles
"Franklin Career Colleges, Inc. - Ontario",CA,Ontario
"Franklin Career Colleges, Inc. - Inglewood",CA,Inglewood
"Franklin Career Colleges, Inc. - Van Nuys",CA,Van Nuys
Glendale Career College,CA,Glendale
Heartwood Institute,CA,Garberville
Scandinavian Aviation Academy,CA,El Cajon
TechSkills - Sacramento,CA,Sacramento
Video Symphony,CA,Burbank
Walter Jay M.D. Institute,CA,Los Angeles
Absolute Safety Training Paramedic Program,CA,Willows
American College of Health Professions - Riverside,CA,Riverside
American Institute of Massage Therapy - Santa Ana,CA,Santa Ana
Career Care Institute - Lancaster,CA,Lancaster
"Emergency Training Services, Inc.",CA,Santa Cruz
"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA",CA,San Jose
UEI College - Cerritos,CA,Cerritos
American Pacific College,CA,Van Nuys
American Pacific College - Los Angeles,CA,Los Angeles
Deep Creek Construction School,CA,Apple Valley
Institute of Technology - Culinary Art Campus,CA,Roseville
Los Angeles Film School - Hollywood,CA,Hollywood
Kaplan College - Palm Springs,CA,Palm Springs
Kaplan College - Clovis,CA,Clovis
National Communications Training Centers,CA,San Marcos
Newbridge College - Long Beach,CA,Long Beach
Pacific Coast Trade School,CA,Oxnard
Quality College of Culinary Careers,CA,Fresno
St. Francis Career College - San Jose,CA,San Jose
The Art Institute of California - Inland,CA,San Bernardino
Presbyterian Theological Seminary in America,CA,Santa Fe Springs
Universal Technical Institute/Northern California,CA,Sacramento
WestMed College,CA,San Jose
Wyotech - West Sacramento,CA,West Sacramento
Logos Evangelical Seminary,CA,El Monte
Golf Academy of America,CA,Vista
Maric College - Bakersfield,CA,Bakersfield
United Education Institute - Huntington Park Campus,CA,Huntington Park
American Scientific Institute,CA,Los Angelas
Heald College - Central Administrative Office,CA,San Francisco
California Nurses Educational Institute,CA,Palm Springs
All American Career College,CA,San Bernardino
Center for Seabees and Facilities Engineering (CSFE),CA,Port Hueneme
College of Career Training,CA,Carmichael
Blake Austin College,CA,Vacaville
Center for Information Technology,CA,San Diego
Edgewood College of California,CA,Rosemead
GDS Institute,CA,South Gate
Gnomon School of Visual Effects,CA,Hollywood
Infotech Career College,CA,Paramount
Medical Institute,CA,Los Angeles
New Technology Training Institute,CA,Glendale
Oxman College,CA,San Francisco
Palladium Technical Academy,CA,El Monte
American University of Armenia,CA,Oakland
United States University,CA,Chula Vista
Intercultural Institute of California,CA,San Francisco
San Diego Culinary Institute,CA,La Mesa
Henley-Putnam University,CA,San Jose
Beaumont Adult School,CA,Beaumont
Centinela Desert Institute,CA,Imperial
Bridges Academy of Beauty,CA,Barstow
Champion Institute of Cosmetology,CA,Palm Springs
Coastline Beauty College,CA,Fountain Valley
Healthy Hair Academy,CA,Inglewood
International Academy of Cosmetology,CA,South Gate
International School of Beauty,CA,Palm Desert
Mojave Barber College,CA,Victorville
Palace Beauty College,CA,Los Angeles
Paul Mitchell The School - San Diego,CA,San Diego
Thuy Princess Beauty College,CA,Pomona
Delma Graves Adult School,CA,Fresno
Earl Warren Adult School-California Correctional Center,CA,Susanville
Fresno Adult School,CA,Fresno
Jefferson Adult Education Division,CA,Daly City
Kennedy-San Fernando Community Adult School,CA,Granada Hills
Liberty Adult School,CA,Brentwood
Long Beach School for Adults,CA,Long Beach
Manual Arts- Crenshaw Community Adult School,CA,Los Angeles
Napa Valley Adult School,CA,Napa
Yosemite Adult School,CA,Oakhurst
Saddleback Valley U.S.D. - Adult Education,CA,Mission Viejo
San Bernardino Adult School,CA,San Bernardino
Sequoia District Adult School,CA,Menlo Park
"Vaca Valley Adult School-California State Prison,Solano",CA,Vacaville
Valley  Adult  School - Correctional Training Facility,CA,Soledad
Valley State Adult School-Valley State Prison for Women,CA,Chowchilla
West Contra Costa Adult Education,CA,Richmond
Wilson-Lincoln Community Adult School,CA,Los Angeles
California University of Management and Sciences,CA,Anaheim
Career College of San Diego,CA,San Diego
Coast Career Institute,CA,Los Angeles
Konocti College of Holistic Studies,CA,Kelseyville
California International Business University,CA,San Diego
University of Philosophical Research,CA,Los Angeles
Taft Law School,CA,Santa Ana
Allied Schools,CA,Laguna Hills
Marinello School of Beauty - Stockton,CA,Stockton
Paul Mitchell The School - Pasadena,CA,Alhambra
Perelandra College,CA,La Mesa
Central Valley WIC Dietetic Internship,CA,Reedley
Clinica Sierra Vista Dietetic Internship,CA,Bakersfield
Napa State Hospital Psychology Internship,CA,Napa
Northeast Valley Health Corporation WIC Program Dietetic Internship,CA,San Fernando
Olive View/UCLA Medical Center Dietetic Internship,CA,Sylmar
Patton State Hospital Psychology Internship,CA,Patton
Porterville Developmental Center Dietetic Internship,CA,Porterville
San Diego WIC Dietetic Internship,CA,San Diego
VA Greater Los Angeles Healthcare System,CA,Los Angeles
Veterans Affairs Medical Center/San Diego Dental General Practice Residency 12 Months,CA,San Diego
Los Angeles County/USC Medical Center Dentistry Department General Practice Residency 12 Months,CA,Los Angeles
Center for the Partially-Sighted Residency in Low Vision Rehabilitation,CA,Los Angeles
Fresno VAMC Residency in Hospital-Based Optometry,CA,Fresno
San Francisco VAMC Residency in Primary Eye Care,CA,San Francisco
Southern California College of Optometry Residency in Cornea and Contact Lens,CA,Fullerton
"University of California, Berkeley, School of Optometry Optometric Residency Program",CA,Berkeley
Atascadero State Hospital Psychology Internship,CA,Atascadero
The Center for Aging Resources Psychology Internship,CA,Pasadena
"Central California Psychology Internship Consortium, Fresno",CA,Fresno
"Child and Family Guidance Center, California Psychology Internship",CA,Northridge
Children's Hospital of Los Angeles,CA,Los Angeles
Children's Hospital of Orange County Psychology Internship,CA,Orange
Didi Hirsch Community Mental Health Center Psychology Internship,CA,Culver City
The Guidance Center Psychology Internship,CA,Long Beach
The H.E.L.P. Group Psychology Internship,CA,Sherman Oaks
"Kaiser Permanente Medical Care Program, Los Angeles Psychology Internship",CA,Los Angeles
"Kaiser Permanente Medical Care Program, San Diego Psychology Internship",CA,Vista
The Metropolitan Detention Center Psychology Internship,CA,Los Angeles
Metropolitan State Hospital Psychology Internship,CA,Norwalk
"Naval Medical Center, San Diego",CA,San Diego
Pacific Clinics Psychology Internship,CA,Pasadena
Packard Children's Hospital at Stanford Psychology Internship,CA,Palo Alto
River Oak Center for Children Psychology Internship,CA,Carmichael
San Bernardino County Department of Behavioral Health Psychology Internship,CA,San Bernardino
Sharp HealthCare Psychology Internship,CA,San Diego
St. John's Child and Family Development Center Psychology Internship,CA,Santa Monica
"Tri-City Mental Health Center, Pomona Psychology Internship",CA,Pomona
University of San Diego Counseling Center Psychology Internship,CA,San Diego
VA Los Angeles Ambulatory Care Center Psychology Internship,CA,Los Angeles
"Veterans Affairs Medical Center, Loma Linda - CA Dental General Practice Residency 12 Months",CA,Loma Linda
"Veterans Affairs Medical Center, Long Beach - CA",CA,Long Beach
VA Northern California Health Care System - Martinez Residency in Clinical Neuropsychology,CA,Martinez
"Veterans Affairs Medical Center, San Francisco - CA Dental General Practice Residency 12 Months",CA,San Francisco
"Veterans Affairs Medical Center, Sepulveda - CA Dental General Practice Residency 12 Months",CA,Sepulveda
"Veterans Affairs Medical Center, Palo Alto - CA",CA,Palo Alto
Shasta County Mental Health Center Psychology Internship,CA,Redding
University of California - San Francisco School of Medicine Psychology Internship,CA,San Francisco
Borner's Barber College,CA,Los Angeles
"AF International School of Languages, Inc.",CA,Los Angeles
American Academy of English,CA,San Francisco
American English Academy,CA,Monterey Park
Transworld Schools,CA,San Francisco
Thomas J. Kiblen & Associates Dale Carnegie Training,CA,Long Beach
Career Management Institute,CA,Orange
Dale Carnegie Training of Central California,CA,Bakersfield
Dale Carnegie Training of Los Angeles,CA,Upland
Diversified Language Institute - San Diego,CA,San Diego
Diversified Language Institute - Los Angeles,CA,Los Angeles
"Eddie C. Snow & Associates, Inc. Dale Carnegie Training",CA,Oakland
EF International Schools of English in Los Angeles,CA,Northridge
ELS Language Centers,CA,San Francisco
Embassy CES,CA,West Hills
English Language Institute,CA,San Francisco
"Robert M. Scherer & Associates, Inc. Dale Carnegie Training",CA,Sacramento
FLS International - Pasadena,CA,Pasadena
POLY Languages Institute,CA,Los Angeles
OSULA Education Center,CA,Studio City
"Golden Gate Language School, Inc.",CA,Campbell
International Center for American English,CA,La Jolla
INTRAX International Institute,CA,San Francisco
Language Studies International,CA,San Diego
Southern California College of Optometry Residency in Pediatric Optometry / Vision Therapy,CA,Fullerton
VA Los Angeles Ambulatory Care Center Residency in Ocular Disease / Low Vision Rehabilitation,CA,Los Angeles
VA Santa Barbara Community Based Outpatient Clinic Residency in Primary Eye Care/Geriatric Optometry,CA,Santa Barbara
Veterans Affairs Palo Alto Health Care System Residency in Primary Eye Care / Low Vision Rehabilitation,CA,Palo Alto
West Los Angeles VA Healthcare Center Residency in Geriatrics/Primary Care Optometry,CA,Los Angeles
Sepulveda VA Ambulatory Care Center Residency in Primary Eye Care/Geriatric Optometry,CA,Sepulveda
"California Department of Mental Health Psychiatric Program, Vacaville Psychology Internship",CA,Vacaville
"Richmond Area Multiservices, National Asian American Psychology Training Psychology Internship",CA,San Francisco
University of California-San Diego/Veterans Affairs Medical Center - La Jolla Psychology Internship,CA,San Diego
International College of Cosmetology,CA,Oakland
BioHealth College,CA,San Jose
Rosemead College of English,CA,Rosemead
National Notary Association,CA,Chatsworth
Fashion Design Training Center,CA,Palmdale
Career College Consultants,CA,Los Angeles
Innovative Corporate Solutions,CA,La Jolla
Dale Carnegie of San Joaquin,CA,Stockton
Asher College,CA,Sacramento
Word-Wide ESL Institute,CA,San Diego
EC San Diego,CA,La Jolla
Kaplan International Centers,CA,Santa Barbara
Milan Institute,CA,Visalia
Performance Improvement Group Dale Carnegie Training of Los Angeles,CA,Claremont
Alta Bates Summit Medical Center,CA,Berkeley
California Pacific Medical Center Institute for Health & Healing,CA,San Francisco
Center for Urban Chaplaincy,CA,San Diego
Crystal Cathedral,CA,Garden Grove
Methodist Hospital of So. California,CA,Arcadia
John Muir Health Center,CA,Concord
St. Joseph Hospital,CA,Orange
St. Mary's Bay Area CPE Center,CA,San Francisco
Sutter Medical Center - Sacramento,CA,Sacramento
Sharp HealthCare San Diego Hospital Association,CA,San Diego
International Reformed University and Seminary,CA,Los Angeles
Olivet University,CA,San Francisco
Horizon College of San Diego,CA,San Diego
Maritime Institute,CA,San Diego
Angeles Institute,CA,Artesia
Pacific Coast College,CA,Long Beach
Northern California Institute of Cosmetology,CA,San Leandro
Healing Hands School of Holistic Health,CA,Escondido
California Northstate College of Pharmacy,CA,Rancho Cordova
Americana College,CA,Los Angeles
Central Nursing College,CA,Los Angeles
Preferred College of Nursing,CA,Los Angeles
Rady Children's Hospital,CA,San Diego
Evangelia University,CA,Anaheim
Children's Institute Psychology Internship,CA,Los Angeles
Casa Pacifica Psychology Internship,CA,Camarillo
Laurus College,CA,San Luis Obispo
Allied Business Schools,CA,Laguna Hills
Anaheim University,CA,Anaheim
International Sports Sciences Association,CA,Carpinteria
California Intercontinental University,CA,Diamond Bar
Paul Mitchell The School Sacramento,CA,Sacramento
1st Dental Battalion/Camp Pendleton-Dental Center Advanced Education in General Dentistry 12 Months,CA,Camp Pendleton
60th Medical Group/Travis AFB,CA,Travis AFB
Cedars Sinai Medical Center,CA,Los Angeles
Naval Hospital/Camp Pendleton-Dental Department,CA,Camp Pendleton
Rancho Los Amigos Medical Center Dental General Practice Residency 12 Months,CA,Downey
UCLA Dental Center at Venice Advanced Education in General Dentistry 12 Months,CA,Venice
University Medical Center,CA,Fresno
University of the Pacific Highland General Hospital,CA,Oakland
Veterans Affairs Northern California Healthcare System Dental General Practice Residency 12 Months,CA,Mare Island
Providence Christian College,CA,Pasadena
Academy for Jewish Religion,CA,Los Angeles
Stanford Hospital and Clinics,CA,Stanford
Martin Luther King Jr. / Drew Medical Center,CA,Los Angeles
"Homestead Schools, Inc.",CA,Torrance
American Career College - Ontario,CA,Ontario
California Career College,CA,Canoga Park
Advanced Computing Institute,CA,Los Angeles
Anderson Medical Career College,CA,North Hollywood
California Technical Education College,CA,Los Angeles
"Naval Expeditionary Warfare Training Group, Pacific",CA,San Diego
The Fab School,CA,Riverside
Grace Mission University,CA,Fullerton
English Language Center,CA,Los Angeles
California School of Health Sciences,CA,Garden Grove
"RWM Fiber Optics, Inc",CA,Carson
English Studies Institute,CA,Berkeley
California Miramar University,CA,San Diego
Nizhoni Institute of Midwifery,CA,Bonita
Academy of Esthetics and Cosmetology,CA,San Fernando
Angeles College of Nursing,CA,Los Angeles
Galaxy Medical College,CA,North Hollywood
San Diego Healthcare System La Jolla Medical Center Residency in Primary Care Optometry - Department of Veterans Affairs,CA,San Diego
Shasta School of Cosmetology,CA,Redding
Marinello School of Beauty - Concord,CA,Concord
Trinity Vocational Center,CA,Gardena
"Career Development Institute, Inc.",CA,Los Angeles
Medical Career College of Northern California,CA,Citrus Heights
Meridian Institute,CA,Los Angeles
National Career College,CA,Van Nuys
Valley College of Medical Careers - West Hills,CA,West Hills
Theatre of Arts,CA,Hollywood
Community Health and Advocacy Training (CHAT-PD) - Venice,CA,Los Angeles
Golden State College of Court Reporting and Captioning,CA,Dublin
United Medical Institute,CA,Sacramento
International College of Cosmetology II,CA,San Francisco
L.A. Barber College,CA,Los Angeles
San Francisco Institute of Esthetics and Cosmetology,CA,San Francisco
S.I.C.E. Paul Mitchell Partner School,CA,Modesto
Coachella Valley Adult School,CA,Coachella
Fontana Adult School,CA,Fontana
Hanford Adult School,CA,Hanford
Institute of Medical Education,CA,San Jose
International Polytechnic Institute,CA,Calexico
Lemoore Adult School,CA,Lemoore
Monterey Adult School,CA,Monterey
New Haven Adult School,CA,Union City
Newport-Mesa Unified School District Adult Education Program,CA,Costa Mesa
Sanger Adult School,CA,Sanger
The Montessori World Educational Institute,CA,Cambria
Vallejo Adult School,CA,Vallejo
Yucaipa Adult School,CA,Yucaipa
International Theological Seminary,CA,El Monte
Cosmo Beauty Academy,CA,Sacramento
Paul Mitchell The School Fresno,CA,Fresno
"The Academy of Barbering Arts, Inc.",CA,Van Nuys
Vogue Beauty Academy - Crescent City,CA,Crescent City
Converse International School of Languages - San Diego,CA,San Diego
International Academy of English,CA,San Diego
Esthetiques Cosmetology Institute,CA,Temecula
Gurnick Academy of Medical Arts - San Mateo,CA,San Mateo
Coachella Valley Beauty College,CA,La Quinta
City of Hope National Medical Center,CA,Duarte
Aerobics and Fitness Association of America (AFAA) Distance Education Center,CA,Sherman Oaks
California Southern University,CA,Irvine
Norco College,CA,Norco
Tramy Beauty School,CA,San Diego
Southern California University - SOMA,CA,Los Angeles
Santa Ana Beauty Academy,CA,Santa Ana
Montessori Teacher Academy/NCME,CA,Dana Point
Westwood College - Los Angeles,CA,Los Angeles
"Learnet Academy, Inc.",CA,Los Angeles
Upright Citizens Brigade Theatre - Hollywood,CA,Hollywood
American Institute of Technology - Fontana,CA,Fontana
ATI College - Santa Ana,CA,Santa Ana
Charter College - Long Beach,CA,Long Beach
CIT College of InfoMedical Technology,CA,Los Angeles
Fremont College,CA,Los Angeles
Institute of Technology - Redding,CA,Redding
Kaplan College - Riverside,CA,Riverside
Kaplan College - Chula Vista,CA,Chula Vista
Modern Institute of Technology,CA,Oxnard
Northwest Lineman College - Oroville Campus,CA,Oroville
Unitek College - Fremont,CA,Fremont
Westech College - Victorville,CA,Victorville
WestMed College - Merced,CA,Merced
Elite Cosmetology School,CA,Yucca Valley
Paul Mitchell the School - East Bay,CA,Pleasant Hill
Tamalpais Adult School,CA,Larkspur
The Real Barbers College,CA,Anaheim
Hands-On Medical Massage School,CA,Redlands
Computer Training Academy,CA,Riverside
Bergin University of Canine Studies,CA,Rohnert Park
Presidio Graduate School,CA,San Francisco
Woodland Community College,CA,Woodland
Brandman University,CA,Irvine
WestCoast Children's Clinic Psychology Internship,CA,Oakland
Southern States University - Newport Beach,CA,Newport Beach
Southern States University - San Diego,CA,San Diego
Academy of Couture Art,CA,Los Angeles
Southern California Health Institute,CA,North Hollywood
Stanton University,CA,Garden Grove
"Federico Career Colleges of Bakersfield, Inc.",CA,Bakersfield
"Federico Career Colleges, Inc.",CA,Fresno
International College of Beauty Arts & Sciences,CA,Los Angeles
"Salinas Beauty College, Inc.",CA,Salinas
TONI & GUY Hairdressing Academy - Modesto,CA,Modesto
Cinta Aveda Institute,CA,San Francisco
Kaiser Permanente North Bay Consortium Residency in Clinical Psychology,CA,San Rafael
Providence Health & Services,CA,Burbank
Medical Allied Career Center,CA,Santa Fe Springs
Integrity College of Health,CA,Pasadena
Professional Veterinary Assistant School,CA,Lake Forest
The Academy for Salon Professionals,CA,Santa Clara
International Professional School of Bodywork,CA,San Diego
Joe Blasco Makeup Artist Training Center,CA,Los Angeles
Santa Ana Beauty College,CA,Santa Ana
Academy for Salon Professionals - Canoga Park,CA,Canoga Park
Lu Ross Academy,CA,Ventura
NCP College of Nursing - San Francisco,CA,San Francisco
Annenberg School of Nursing,CA,Reseda
CODE MED School of Professional Medical Coding,CA,Los Angeles
Abraham Lincoln University,CA,Los Angeles
"Citrus Heights Beauty College, Inc.",CA,Citrus Heights
Sutter Beauty College,CA,Yuba City
The Academy,CA,Citrus Heights
Pasadena Conservatory of Music,CA,Pasadena
Brand College,CA,Glendale
Beyond 21st Century Beauty Academy,CA,Santa Fe Springs
Diamond Beauty College,CA,South El Monte
Le Melange Academy of Hair,CA,Napa
Wayne's College of Beauty,CA,Salinas
John Paul the Great Catholic University,CA,San Diego
Alhambra Medical University,CA,Alhambra
West Hills College - Lemoore,CA,Lemoore
Eternity Bible College,CA,Simi Valley
College of Industrial Repairs,CA,San Jose
Sanford-Burnham Medical Research Institute,CA,La Jolla
Los Angeles Pacific College,CA,Los Angeles
Advanced Career Institute - Visalia,CA,Visalia
Shepherd University School of Theology,CA,Los Angeles
UC San Diego Medical Center Dietetic Internship,CA,San Diego
California State Polytechnic University Dietetic Internship,CA,Pomona
California Polytechnic State University San Luis Obispo Dietetic Internship,CA,San Luis Obispo
California State University-Chico Dietetic Internship,CA,Chico
"California State University, Fresno Dietetic Internship",CA,Fresno
"California State University, Long Beach Dietetic Internship",CA,Long Beach
"California State University, Northridge Dietetic Internship",CA,Northridge
California State University Sacramento Dietetic Internship,CA,Sacramento
Center for Child Development and Developmental Disabilities/UAP Dietetic Internship,CA,Los Angeles
Los Angeles County Dietetic Internship,CA,Los Angeles
Napa State Hospital Dietetic Internship,CA,Napa
Patton State Hospital Dietetic Internship,CA,Patton
San Diego State University Dietetic Internship,CA,San Diego
San Francisco State University Dietetic Internship,CA,San Francisco
San Jose State University Dietetic Internship,CA,San Jose
"University of California, Berkeley, Public Health Dietetic Internship",CA,Berkeley
UC Davis Medical Center Dietetic Internship,CA,Sacramento
"University of California, San Francisco Medical Center Dietetic Internship",CA,San Francisco
VA Greater Los Angeles Healthcare System Dietetic Internship,CA,Los Angeles
VA San Diego Healthcare System Dietetic Internship,CA,San Diego
Argosy University - Orange County Campus,CA,Orange
SAE Institute of Technology - Los Angeles,CA,Los Angeles
"California State University, Long Beach Psychology Internship",CA,Long Beach
"University of California, Davis Children's Hospital Psychology Internship",CA,Sacramento
University of California-Berkeley Psychology Internship,CA,Berkeley
University of California-Davis Psychology Internship,CA,Davis
"University of California, Santa Barbara Psychology Internship",CA,Santa Barbara
University of California - Irvine Psychology Internship,CA,Irvine
University of California - Los Angeles Psychology Internship,CA,Los Angeles
University of California - Santa Cruz Psychology Internship,CA,Santa Cruz
University of Southern California Psychology Internship,CA,Los Angeles
Children's Hospital of Los Angeles Psychology Internship,CA,Los Angeles
"Naval Medical Center, San Diego Psychology Internship",CA,San Diego
West Los Angeles VA Healthcare System Psychology Internship,CA,Los Angeles
Jerry L. Pettis Memorial Veterans Affairs Hospital Psychology Internship,CA,Loma Linda
VA Long Beach Healthcare System Psychology Internship,CA,Long Beach
VA Palo Alto Health Care System Psychology Internship,CA,Palo Alto
VA Sepulveda Ambulatory Care Center and Nursing Home Psychology Internship,CA,Sepulveda
University of California - San Diego Psychology Internship,CA,La Jolla
San Francisco VA Medical Center Psychology Internship,CA,San Francisco
VA Northern California Health Care System - Martinez Psychology Internship,CA,Martinez
San Francisco VA Medical Center Residency in Clinical Psychology,CA,San Francisco
VA Palo Alto Health Care System Residency in Clinical Psychology,CA,Palo Alto
"VA Palo Alto Health Care System Mental Illness Research, Education & Clinical Center Residency in Clinical Psychology",CA,Palo Alto
Harbor/UCLA Medical Center Residency in Clinical Psychology,CA,Torrance
Harbor/UCLA Medical Center Residence in Clinical Neuropsychology,CA,Torrance
"University of California, Los Angeles-Semel Institute for Neuroscience and Human Behavior Psychology Internship",CA,Los Angeles
Advance Beauty Techs Academy,CA,San Jacinto
Lyles Fresno College of Beauty,CA,Fresno
60th Medical Group/Travis AFB Advanced Education in General Dentistry 12 Months,CA,Travis AFB
Cedars Sinai Medical Center Dental General Practice Residency 12 Months,CA,Los Angeles
Loma Linda University School of Dentistry Predoctoral Internship,CA,Loma Linda
Martin Luther King Jr. / Drew Medical Center Dental Service General Practice Residency 12 Months,CA,Los Angeles
Naval Dental Center/Hospital - San Diego Advanced Education in General Dentistry 12 Months,CA,San Diego
Naval Medical Center - San Diego Dental Department General Practice Residency 12 Months,CA,San Diego
Hinton Barber College,CA,Valleho
San Francisco College of Cosmetology,CA,San Francisco
University Medical Center Dental General Practice Residency 12 Months,CA,Fresno
University of California at Los Angeles School of Dentistry Advanced Education in General Dentistry 12 Months,CA,Los Angeles
University of California at Los Angeles School of Dentistry General Practice Residency 12 Months,CA,Los Angeles
University of California at Los Angeles School of Dentistry Predoctoral Internship,CA,Los Angeles
University of California at San Francisco School of Dentistry General Practice Residency 12 Months,CA,San Francisco
University of California at San Francisco School of Dentistry Predoctoral Internship,CA,San Francisco
University of Southern California School of Dentistry Advanced Education in General Dentistry 12 Months,CA,Los Angeles
University of Southern California School of Dentistry Predoctoral Internship,CA,Los Angeles
University of the Pacific Arthur A. Dugoni School of Dentistry Advanced Education in General Dentistry 12 Months,CA,San Francisco
University of the Pacific Arthur A. Dugoni School of Dentistry Predoctoral Internship,CA,San Francisco
William M. Maguy School of Education,CA,Visalia
Ukiah Adult School,CA,Ukiah
ZMS The Academy,CA,Los Angeles
Veterans Affairs Long Beach Healthcare System Dental General Practice Residency 12 Months,CA,Long Beach
"Veterans Affairs Medical Center, Palo Alto - CA Dental General Practice Residency 12 Months",CA,Palo Alto
Veterans Affairs Medical Center/West LA Dental General Practice Residency 12 Months,CA,West Los Angeles
Harbor - UCLA Medical Center Dental General Practice Residency 12 Months,CA,Torrance
Western University of Health Sciences Dental Predoctoral Internship,CA,Pomona
Xavier College,CA,Stockton
"Airstreams Renewables, Inc.",CA,Tehachapi
Dale Carnegie Training of the Bay Area,CA,San Mateo
Unitek College - Sacramento,CA,Sacramento
Apollos University,CA,Huntington Beach
University of Southern California/Children's Hospital of Los Angeles Residency in Clinical Child Psychology,CA,Los Angeles
"Stanford University, Counseling and Psychological Services Psychology Internship",CA,Stanford
Western Youth Services Psychology Internship,CA,Laguna Hills
"Kaiser Permanente Northern California, Central Bay Consortium Residency in Clinical Psychology",CA,Oakland
"University of California, San Diego/Veterans Affairs Residency in Clinical Psychology",CA,San Diego
Kaiser Permanente South Bay Consortium Residency in Clinical Psychology,CA,Mountain View
Lawrence & Company College of Cosmetology,CA,Hanford
Butte County Regional Occupational Program,CA,Chico
Lompoc Unified Adult Education,CA,Lompco
Rudolf Steiner College,CA,Fair Oaks
Teachers College of San Joaquin,CA,Stockton
The Cosmo Factory Cosmetology Academy,CA,Santa Cruz
Veritas Evangelical Seminary,CA,Muerrieta
California Career Institute,CA,Garden Grove
"California State University, Northridge Psychology Internship",CA,Northridge
"Federal Correctional Institution, Terminal Island Psychology Internship",CA,Terminal Island
University of the Pacific Psychology Internship,CA,Stockton
Grace Communion Seminary,CA,Glendora
UEI College - Gardena,CA,Gardena
W Institute of Cosmetology,CA,Concord
Heald College,CA,San Francisco
High Tech High Graduate School of Education,CA,San Diego
William Howard Taft University,CO,Denver
The Salon Professional Academy - Grand Junction,CO,Grand Junction
Adams State College,CO,Alamosa
Aims Community College,CO,Greeley
Arapahoe Community College,CO,Littleton
Bel-Rea Institute of Animal Technology,CO,Denver
Everest College - Colorado Springs,CO,Colorado Springs
Boulder College of Massage Therapy,CO,Boulder
Memorial Hospital,CO,Colorado Springs
University of Colorado Denver,CO,Denver
University of Colorado Denver School of Medicine Psychology Internship,CO,Aurora
University of Colorado at Colorado Springs,CO,Colorado Springs
Redstone College,CO,Broomfield
University of Colorado at Boulder,CO,Boulder
Colorado Christian University,CO,Lakewood
Colorado College,CO,Colorado Springs
Concorde Career College - Aurora,CO,Aurora
The Art Institute of Colorado,CO,Denver
Colorado Mountain College,CO,Glenwood Springs
Colorado Northwestern Community College,CO,Rangely
Colorado School of Mines,CO,Golden
Colorado School of Trades,CO,Lakewood
Colorado State University,CO,Fort Collins
Colorado Technical University,CO,Colorado Springs
Empire Beauty School - Lakewood,CO,Lakewood
Community College of Aurora,CO,Aurora
CollegeAmerica - Denver,CO,Denver
Delta Montrose Technical College,CO,Delta
Prince Institute - Rocky Mountains,CO,Westminster
Community College of Denver,CO,Denver
Lincoln College of Technology - Denver,CO,Denver
Denver Seminary,CO,Littleton
University of Denver,CO,Denver
Emily Griffith Technical College,CO,Denver
Fort Lewis College,CO,Durango
Front Range Community College,CO,Westminster
Glenwood Beauty Academy,CO,Glenwood Springs
Hair Dynamics Education Center,CO,Fort Collins
Iliff School of Theology,CO,Denver
International Beauty Academy,CO,Colorado Springs
Lamar Community College,CO,Lamar
Colorado Mesa University,CO,Grand Junction
Metropolitan State College of Denver,CO,Denver
Morgan Community College,CO,Fort  Morgan
Naropa University,CO,Boulder
Nazarene Bible College,CO,Colorado Springs
Northeastern Junior College,CO,Sterling
University of Northern Colorado,CO,Greeley
Otero Junior College,CO,La Junta
Everest College - Thornton,CO,Thornton
Pikes Peak Community College,CO,Colorado Springs
IntelliTec Medical Institute - Colorado Springs,CO,Colorado Springs
Pueblo Community College,CO,Pueblo
Red Rocks Community College,CO,Lakewood
Regis University,CO,Denver
Rocky Mountain College of Art and Design,CO,Denver
Montessori Education Center of the Rockies,CO,Boulder
San Juan Basin Technical College,CO,Mancos
Colorado State University - Pueblo,CO,Pueblo
Pickens Technical College,CO,Aurora
IntelliTec College - Colorado Springs,CO,Colorado Springs
IntelliTec College - Grand Junction,CO,Grand Junction
Empire Beauty School - Westminster,CO,Westminster
Trinidad State Junior College,CO,Trinidad
Empire Beauty School - Thornton,CO,Thornton
Western State College of Colorado,CO,Gunnison
Yeshiva Toras Chaim Talmudical Seminary,CO,Denver
National Theatre Conservatory,CO,Denver
Platt College,CO,Aurora
Heritage College - Denver,CO,Denver
Remington College-Denver Campus,CO,Lakewood
Colorado Heights University,CO,Denver
Institute of Business & Medical Careers - Fort Collins,CO,Fort Collins
St. Anthony Hospitals - Centura Health,CO,Denver
Xenon International School of Hair Design III,CO,Aurora
Colorado School of Traditional Chinese Medicine,CO,Denver
Cheeks International Academy of Beauty Culture - Fort Collins,CO,Fort Collins
Cheeks International Academy of Beauty Culture - Greeley,CO,Greeley
Colorado School of Healing Arts,CO,Lakewood
Remington College - Colorado Springs,CO,Colorado Springs
Empire Beauty School - Arvada,CO,Arvada
Kaplan College - Thornton,CO,Thornton
American Health Science University,CO,Aurora
Cortiva Institute-Colorado,CO,Broomfield
Center of Advanced Therapeutics,CO,Denver
Southwest Acupuncture College - Boulder,CO,Boulder
University of the Rockies,CO,Colorado Springs
