name,state,city
University of Arkansas for Medical Sciences,AR,Little Rock
"ABC Beauty College, Inc.",AR,Arkadelphia
Arkansas Baptist College,AR,Little Rock
Arkansas Beauty School,AR,Little Rock
Lyon College,AR,Batesville
Arkansas College of Barbering and Hair Design,AR,North Little Rock
"Arthur's Beauty College, Inc - Fort Smith",AR,Fort Smith
"University of Arkansas, Fayetteville",AR,Fayetteville
University of Arkansas at Pine Bluff,AR,Pine Bluff
Arkansas State University - Beebe,AR,Beebe
Arkansas State University,AR,State University
Arkansas Tech University,AR,Russellville
University of Arkansas at Monticello,AR,Monticello
"Arthur's Beauty College, Inc. - Jacksonville",AR,Jacksonville
Baptist Health Schools Little Rock,AR,Little Rock
Bee-Jay's Hairstyling Academy,AR,Little Rock
Black River Technical College,AR,Pocahontas
University of Central Arkansas,AR,Conway
Central Baptist College,AR,Conway
Creative School of Cosmetology,AR,Blytheville
Cossatot Community College of the University of Arkansas,AR,De Queen
Crowley's Ridge College,AR,Paragould
Crowleys Ridge Technical Institute,AR,Forrest City
De Luxe Beauty School,AR,Pine Bluff
East Arkansas Community College,AR,Forrest City
Eastern College of Health Vocations - Little Rock,AR,Little Rock
Imagine - Paul Mitchell Partner School,AR,North Little Rock
National Park Community College,AR,Hot Springs
University of Arkansas Community College-Batesville,AR,Batesville
Harding University,AR,Searcy
Henderson State University,AR,Arkadelphia
Hendrix College,AR,Conway
Hot Springs Beauty College,AR,Hot Springs
Jefferson Regional Medical Center,AR,Pine Bluff
John Brown University,AR,Siloam Springs
Lee's School of Cosmetology,AR,North Little Rock
Career Academy of Hair Design,AR,Springdale
Little Rock Job Corp Center,AR,Little Rock
Marsha Kay Beauty College,AR,Mountain Home
Academy of Salon and Spa,AR,Fort Smith
Mid-South Community College,AR,West Memphis
Arkansas Northeastern College,AR,Blytheville
"Margaret's Hair Academy, Inc.",AR,Russellville
New Tyler Barber College Inc,AR,North Little Rock
North Arkansas College,AR,Harrison
Northwest Technical Institute,AR,Springdale
Ouachita Baptist University,AR,Arkadelphia
Ouachita Technical College,AR,Malvern
Ozarka College,AR,Melbourne
University of the Ozarks,AR,Clarksville
University of Arkansas Community College-Morrilton,AR,Morrilton
Philander Smith College,AR,Little Rock
Phillips Community College of the University of Arkansas,AR,Helena
Southeast Arkansas College,AR,Pine Bluff
Professional Cosmetology Education Center,AR,El Dorado
Pulaski Technical College,AR,North Little Rock
University of Arkansas Community College-Hope,AR,Hope
Rich Mountain Community College,AR,Mena
Fayetteville Beauty College,AR,Fayetteville
St. Vincent Infirmary Medical Center,AR,Little Rock
Searcy Beauty College Inc,AR,Searcy
Williams Baptist College,AR,Walnut Ridge
South Arkansas Community College,AR,El Dorado
Southern Arkansas University Main Campus,AR,Magnolia
Southern Arkansas University Tech,AR,Camden
Velvatex College of Beauty Culture,AR,Little Rock
University of Arkansas-Fort Smith,AR,Fort Smith
Central Arkansas Radiation Therapy Institute,AR,Little Rock
NorthWest Arkansas Community College,AR,Bentonville
Cass Civilian Conservation Job Corps Center,AR,Ozark
Arkansas State University Mountain Home,AR,Mountain Home
Askins Vo-Tech,AR,Fort Smith
Remington College - Little Rock Campus,AR,Little Rock
Arkansas State University - Newport,AR,Newport
Lynndale Fundamentals of Beauty School,AR,El Dorado
"Arthur's Beauty College, Inc. - Pine Bluff",AR,Pine Bluff
"Arthur's Beauty College, Inc. - Conway",AR,Conway
ABC Barber College,AR,Hot Springs
Northwest Health System,AR,Springdale
Ecclesia College,AR,Springdale
Blue Cliff College - Fayetteville,AR,Fayetteville
Crossett School of Cosmetology,AR,Crossett
Margaret's Hair Academy,AR,Monticello
Mena Cosmetology College,AR,Mena
Veterans Health Care Center of the Ozarks Residency in Primary Eye Care,AR,Fayetteville
Arkansas Behavioral Health Services Division - Arkansas State Hospital Psychology Internship,AR,Little Rock
Central Arkansas Veterans Healthcare System Psychology Internship,AR,North Little Rock
Marks-To Beauty Academy,AR,Pine Bluff
